ID,Comments,UK English,French,Italian,German,Spanish,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,** NOTES FOR TRANSLATORS **,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,1) Only translate the English column.,,,,,,,,,,,,,,,,,,,,,,,,
,2) See comments (in black) in this column where provided for context help and information on any abbreviations,,,,,,,,,,,,,,,,,,,,,,,,
,"3) The ID column is for use in the game code, but please refer to the full ID when requesting further info about any lines of text.",,,,,,,,,,,,,,,,,,,,,,,,
,"4) Please use Capital letters, punctuation and line spaces in equivalent places to the English text, with particular note to where full-stops are used and where they are omitted. Avoid adding trailing spaces, and spaces on blank lines.",,,,,,,,,,,,,,,,,,,,,,,,
,"5) Please use the informal form of address (eg. French - ""tu"").",,,,,,,,,,,,,,,,,,,,,,,,
,"6) Do no translate \n or %s or $(NUMBER) or $(TEXT), but please retain them in an equivalent position in the translated text. ",,,,,,,,,,,,,,,,,,,,,,,,
,7) Where words have been abbreviated in English please try to use abbreviations or shorter forms in other languages if possible,,,,,,,,,,,,,,,,,,,,,,,,
,8) Where the length of the words is an issue (with screen titles for instance) please provide any appropriate abbreviations usable to replace certain words for that locale if we have issues with space on layouts,,,,,,,,,,,,,,,,,,,,,,,,
,9) Please note there are duplicate messages present,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,** NOTES FOR DEV TEAM **,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,1) All comments in red are for the dev team. Ideally these will be removed before sending for translation.,,,,,,,,,,,,,,,,,,,,,,,,
,2) _DS and _PC suffixes on ID tags indicate platform-specific text. ,,,,,,,,,,,,,,,,,,,,,,,,
,"3) 'TO DO:' text is still to be written but can be displayed as is for now, to correct placement in game, etc.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,** LANGUAGE NAMES **,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
LOCALE_LANGUAGE,"The language name, written in that language",English,,,,,,,,,,,,,,,,,,,,,,,
LOCALE_LANGUAGE_CAPS,"And again, but in CAPS",ENGLISH,,,,,,,,,,,,,,,,,,,,,,,
LOCALE_LANGUAGE_ENGLISH_CAPS,,ENGLISH,,,,,,,,,,,,,,,,,,,,,,,
LOCALE_LANGUAGE_FRENCH_CAPS,,FRANÇAIS,,,,,,,,,,,,,,,,,,,,,,,
LOCALE_LANGUAGE_GERMAN_CAPS,,DEUTSCH,,,,,,,,,,,,,,,,,,,,,,,
LOCALE_LANGUAGE_SPANISH_CAPS,,ESPAÑOL,,,,,,,,,,,,,,,,,,,,,,,
LOCALE_LANGUAGE_ITALIAN_CAPS,,ITALIANO,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,** EXAMPLES: DO NOT TRANSLATE **,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
EXAMPLE1,Dynamically inserted text,Hello this is a script message $(TEXT),,,,,,,,,,,,,,,,,,,,,,,
EXAMPLE2,Features dynamically inserted number ,This message has been displayed $(NUMBER) times,,,,,,,,,,,,,,,,,,,,,,,
EXAMPLE3,Features two dynamically inserted numbers,Player got $(NUMBER) out of $(NUMBER) correct.,,,,,,,,,,,,,,,,,,,,,,,
EXAMPLE4,$(BLA) doesn't have to be TEXT or NUMBER - just needs to be descriptive for code use i.e.,Press $(BUTTON) to continue.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,** GENERIC TEXT **,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Morale / Temper / Fitness descriptions,,,,,,,,,,,,,,,,,,,,,,,,
MORALETEXT1,,Disgruntled,,,,,,,,,,,,,,,,,,,,,,,
MORALETEXT2,,OK,,,,,,,,,,,,,,,,,,,,,,,
MORALETEXT3,,Happy,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
TEMPERTEXT1,,V Laidback,,,,,,,,,,,,,,,,,,,,,,,
TEMPERTEXT2,,Laidback,,,,,,,,,,,,,,,,,,,,,,,
TEMPERTEXT3,,Average,,,,,,,,,,,,,,,,,,,,,,,
TEMPERTEXT4,,Aggressive,,,,,,,,,,,,,,,,,,,,,,,
TEMPERTEXT5,,V Aggress,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
FITNESSTEXT1,,Very Unfit,,,,,,,,,,,,,,,,,,,,,,,
FITNESSTEXT2,,Pretty Unfit,,,,,,,,,,,,,,,,,,,,,,,
FITNESSTEXT3,,Struggling,,,,,,,,,,,,,,,,,,,,,,,
FITNESSTEXT4,,Ok,,,,,,,,,,,,,,,,,,,,,,,
FITNESSTEXT5,,Good,,,,,,,,,,,,,,,,,,,,,,,
FITNESSTEXT6,,Excellent,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Bid/Contract screen messages,,,,,,,,,,,,,,,,,,,,,,,,
CONTRACTACCEPTED,,%s accepts your offer and looks forward to playing for %s.,,,,,,,,,,,,,,,,,,,,,,,
CONTRACTTOOLONG,,%s will not sign for that many seasons and would like a shorter contract.,,,,,,,,,,,,,,,,,,,,,,,
CONTRACTTOOSHORT,,%s is disappointed that you are not offering a  longer contract.,,,,,,,,,,,,,,,,,,,,,,,
CONTRACTTOOSHORTCLUB,,%s requires a longer contract if you want him to stay with the club.,,,,,,,,,,,,,,,,,,,,,,,
LEAVEATENDOFCONTRACT,,%s does not want to negotiate a new contract with the club and will be looking to transfer clubs when his current contract ends.,,,,,,,,,,,,,,,,,,,,,,,
PLAYERCONTRACTNEARLYEXPIRED,,%s is approaching the end of his contract and wishes to negotiate a new one with the club.,,,,,,,,,,,,,,,,,,,,,,,
PLAYERLEAVINGAFTERLOAN,,%s's loan period has expired and he has returned to %s.,,,,,,,,,,,,,,,,,,,,,,,
PLAYERLEAVINGAFTERLOAN2,,%s has completed his loan. %s are not prepared to extend his loan period any further.,,,,,,,,,,,,,,,,,,,,,,,
PLAYERLEAVINGAFTERLOAN3,,%s has completed his loan. %s are prepared to extend his loan by 4 weeks. Do you accept?,,,,,,,,,,,,,,,,,,,,,,,
PLAYERNOCONTRACTBOSMAN,,%s's contract has expired. Under the Bosman Ruling the player may move on a free transfer.,,,,,,,,,,,,,,,,,,,,,,,
PLAYERREFUSEDLOAN,,%s does not want to play for your club on loan.,,,,,,,,,,,,,,,,,,,,,,,
PLAYERRETIRED,,%s has retired from football.,,,,,,,,,,,,,,,,,,,,,,,
RETIREATENDOFCONTRACT,,%s has announced he will retire when his current contract expires.,,,,,,,,,,,,,,,,,,,,,,,
WONTRENEW,,%s does not wish to renew his contract with the club.,,,,,,,,,,,,,,,,,,,,,,,
WONTSIGN,,%s does not want to join your club.,,,,,,,,,,,,,,,,,,,,,,,
WONTSIGNRETIRE,,%s will not be joining your club as he will be retiring soon.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
FREETRANSFEREDPLAYER,,%s signed for %s from %s on a free transfer.,,,,,,,,,,,,,,,,,,,,,,,
FREETRANSFEREDPLAYER1,,%s has moved to %s from %s on a free transfer.,,,,,,,,,,,,,,,,,,,,,,,
FREETRANSFEREDPLAYER2,,%s signed for %s from %s on a free transfer.,,,,,,,,,,,,,,,,,,,,,,,
FREETRANSFEREDPLAYER3,,%s signed for %s from %s on a free transfer.,,,,,,,,,,,,,,,,,,,,,,,
FREETRANSFEREDPLAYER4,,%s has completed his move to %s from %s on a free transfer.,,,,,,,,,,,,,,,,,,,,,,,
FREETRANSFEREDPLAYER5,,%s has completed his move to %s from %s on a free transfer.,,,,,,,,,,,,,,,,,,,,,,,
FREETRANSFEREDPLAYER6,,%s has transferred to %s from %s on a free transfer.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
TRANSFEREDPLAYER,,%s has joined %s for %s from %s.,,,,,,,,,,,,,,,,,,,,,,,
TRANSFEREDPLAYER1,,%s signed for %s for a fee of %s from %s.,,,,,,,,,,,,,,,,,,,,,,,
TRANSFEREDPLAYER2,,%s has moved to %s for a fee of %s from %s.,,,,,,,,,,,,,,,,,,,,,,,
TRANSFEREDPLAYER3,,%s signed for %s from %s for %s.,,,,,,,,,,,,,,,,,,,,,,,
TRANSFEREDPLAYER4,,%s has joined %s for %s from %s.,,,,,,,,,,,,,,,,,,,,,,,
TRANSFEREDPLAYER5,,%s has joined %s for %s from %s.,,,,,,,,,,,,,,,,,,,,,,,
TRANSFEREDPLAYER6,,%s has joined %s for %s from %s.,,,,,,,,,,,,,,,,,,,,,,,
TRANSFEREDPLAYER7,,%s has joined %s for %s from %s.,,,,,,,,,,,,,,,,,,,,,,,
TRANSFEREDPLAYER8,,%s has joined %s for %s from %s.,,,,,,,,,,,,,,,,,,,,,,,
TRANSFEREDPLAYER9,,%s has transferred to %s for %s from %s.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
REFUSETRANREQ1,,"%s is disappointed, but will continue to work hard for the club.",,,,,,,,,,,,,,,,,,,,,,,
REFUSETRANREQ2,,%s accepts your decision and will work harder for the club.,,,,,,,,,,,,,,,,,,,,,,,
REFUSETRANREQ3,,%s agrees to stay and hopes this will not affect his chances of first team football.,,,,,,,,,,,,,,,,,,,,,,,
REFUSETRANREQ4,,%s accepts your decision and says he will continue to give 100%%%% for the club.,,,,,,,,,,,,,,,,,,,,,,,
REFUSETRANREQ5,,%s accepts your decision and says he will continue to give 100%%%% for the club.,,,,,,,,,,,,,,,,,,,,,,,
REFUSETRANREQ6,,%s hopes his request will be reconsidered soon.,,,,,,,,,,,,,,,,,,,,,,,
REFUSETRANREQ7,,%s is unhappy with your decision and will request a transfer again soon.,,,,,,,,,,,,,,,,,,,,,,,
BIDTOOLOW,,%s will not sell %s for that price and want more money.,,,,,,,,,,,,,,,,,,,,,,,
DONTNEEDEMPLOYEE,,You must sack your current %s before you can employ a new one.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Finances/Director messages,,,,,,,,,,,,,,,,,,,,,,,,
,board' refers to the board of directors of the club,,,,,,,,,,,,,,,,,,,,,,,,
AGREETOEXTENDPLAYERLOAN,,"%s, %s's loan period at %s is complete. Are you willing to extend it a further 4 weeks?",,,,,,,,,,,,,,,,,,,,,,,
AIMFOREUROPE,,The board will be disappointed if we fail to qualify for Europe this season.,,,,,,,,,,,,,,,,,,,,,,,
AIMFORMIDTABLE,,Our objective for the forthcoming season should be to be in mid table or higher when the season is completed.,,,,,,,,,,,,,,,,,,,,,,,
AIMFORPLAYOFF,,If we could qualify for the playoffs this season then the board will feel we have achieved our objectives.,,,,,,,,,,,,,,,,,,,,,,,
AIMFORPROMOTION,,The board feel that promotion is a realistic target for this season and hope that you will do all you can to achieve this.,,,,,,,,,,,,,,,,,,,,,,,
AIMFORTITLE,,The board believe that we have a squad capable of  challenging for the League title this season. We hope you will be able to bring the club the success it deserves.,,,,,,,,,,,,,,,,,,,,,,,
AVOIDRELEGATION,,The board will be disappointed if we are relegated this season.,,,,,,,,,,,,,,,,,,,,,,,
BOARDWELCOME,,The %s directors are delighted that you have accepted their offer and look forward to many successful seasons with you at the helm.,,,,,,,,,,,,,,,,,,,,,,,
CONFFULLREPAY,,Are you sure you wish to repay your loan in full?,,,,,,,,,,,,,,,,,,,,,,,
CONFPARTREPAY,,Are you sure you wish to repay %s?,,,,,,,,,,,,,,,,,,,,,,,
CUPDEFEAT0,,The board are furious at being knocked out of the %s at such an early stage and have made it clear to you that similar results will not be tolerated.,,,,,,,,,,,,,,,,,,,,,,,
CUPDEFEAT1,,The board are bitterly disappointed at being knocked out of the %s so early and feel the club should have achieved much more.,,,,,,,,,,,,,,,,,,,,,,,
CUPDEFEAT2,,The board are unhappy the club didn't progress further in the %s and hope things will be better next season.,,,,,,,,,,,,,,,,,,,,,,,
CUPDEFEAT4,,The board congratulate you and your staff on a good Cup run in the %s.,,,,,,,,,,,,,,,,,,,,,,,
CUPDEFEAT6,,The board congratulate you on reaching the final. It has been an excellent performance in the %s and a real boost to the club.,,,,,,,,,,,,,,,,,,,,,,,
CUPDEFEAT7,,"Whilst it's disappointing to be out of the cup, we can take consolation in the fact that they were from a higher division and were expected to win.",,,,,,,,,,,,,,,,,,,,,,,
CUPDEFEAT8,,"We really should not have been knocked out of the cup at this stage, on our day we should have eased past them.",,,,,,,,,,,,,,,,,,,,,,,
CUPFINALCLUBS,,The %s will be played between %s and %s on %s,,,,,,,,,,,,,,,,,,,,,,,
HUMANMANAGERSACKED,,"%s, your contract with %s has expired. After lengthy debate the board have decided not to offer you a new one. They wish you well in the future and thank you for your time at the club.",,,,,,,,,,,,,,,,,,,,,,,
LOANACCEPTED,,"Your request for a loan of %s has been accepted! The interest rate is %d%%%%, and repayments are set at %s per week for %d years. Do you wish to continue with your request?",,,,,,,,,,,,,,,,,,,,,,,
LOANREFUSED,,Your request for a loan has been turned down. The directors suggest you find another way of raising capital.,,,,,,,,,,,,,,,,,,,,,,,
LOANTOOSMALL,,The directors will not authorise such a small loan.,,,,,,,,,,,,,,,,,,,,,,,
MONTHLYTARGETBEATEN,,The board are delighted that we exceeded our target for the month.,,,,,,,,,,,,,,,,,,,,,,,
MONTHLYTARGETMET,,The board are pleased to see that we've achieved our target for the month.,,,,,,,,,,,,,,,,,,,,,,,
MONTHLYTARGETNOTMET,,The board are disappointed that we failed to pickup enough points this month.,,,,,,,,,,,,,,,,,,,,,,,
POSITIONFULL,,The board of directors feel you have enough players in this position.,,,,,,,,,,,,,,,,,,,,,,,
SACKBIZARRETACTIC,,You have been sacked. The board have lost all faith in your tactical ability and don't wish to play another match with you making the tactical decisions.,,,,,,,,,,,,,,,,,,,,,,,
SQUADFULL,,The board of Directors feel you have enough players in your squad.,,,,,,,,,,,,,,,,,,,,,,,
